Test_nr,T_0,T_c,T_sh,V_exp,T_sup,T_suc,T_ret,T_dis,P_suc,P_dis,EvapFanSpeed,Cpr,CondFanSpeed,Faulty,HeatLoad,T_set,Cpr_Scale
1,-4.0640481,33.865943,6.9043633,22.101469,0.29802996,5.8163093,8.4093903,45.373854,2.5137644,8.594842,81.340379,57.131467,76.288258,0,10000,0,1
1,-4.1374724,33.869471,11.519671,25.497557,0.32853419,5.8621727,8.3996227,45.642997,2.4938026,8.6064953,80.746186,57.338737,76.327458,0,10000,0,1
1,-4.349769,33.917931,10.933014,25.379094,0.28650391,5.915176,8.384383,45.781318,2.4770018,8.5947611,80.541141,57.418421,76.865898,0,10000,0,1
1,-4.5294668,33.869134,10.105892,24.818647,0.096144775,5.9326553,8.3721084,45.860727,2.4673102,8.5919338,80.852003,57.323486,76.323714,0,10000,0,1
1,-4.6335546,33.85737,10.006962,24.513415,-0.024912905,5.9427352,8.3661688,45.901801,2.4648092,8.5902154,82.200219,56.869373,76.192995,0,10000,0,1
1,-4.6604667,33.850218,8.9070737,23.523778,-0.016679278,5.9669558,8.3704272,45.895479,2.4684513,8.5864222,83.057926,56.580813,76.113529,0,10000,0,1
1,-4.6212833,33.834427,9.491089,23.804373,0.111274,6.0156471,8.3823032,45.911523,2.4707492,8.5857661,83.002955,56.600246,75.938074,0,10000,0,1
1,-4.5965841,33.831695,12.45903,26.140998,0.2666693,6.0843333,8.3928731,45.950875,2.4674254,8.5824952,82.103594,56.903458,75.907723,0,10000,0,1
1,-4.6323163,33.818073,10.656347,25.399705,0.25163744,6.1358686,8.3948976,45.932971,2.4635024,8.5760663,81.012272,57.274394,75.75637,0,10000,0,1
1,-4.674538,33.791289,10.196364,25.09807,0.091648579,6.1487913,8.3876178,45.935694,2.4601502,8.5764449,81.119185,57.243534,75.458764,0,10000,0,1
1,-4.7106568,33.792867,9.4610701,24.360715,-0.012820672,6.1518741,8.3796348,45.939209,2.4607721,8.5769338,82.246665,56.86714,75.476297,0,10000,0,1
1,-4.703953,33.794904,11.364403,25.466444,-0.0006509169,6.164883,8.3802637,45.93352,2.464962,8.5776399,82.986657,56.621411,75.498931,0,10000,0,1
1,-4.6588227,33.797846,13.849793,27.623577,0.063337562,6.1886511,8.3883748,45.854911,2.4722329,8.5744468,82.904701,56.649894,75.531625,0,10000,0,1
1,-4.5806453,33.784539,9.7188009,25.161619,0.0092775619,6.1834241,8.3957669,45.646751,2.484476,8.5690498,82.454277,56.799563,75.383767,0,10000,0,1
1,-4.4494085,33.762039,8.4941085,24.036042,-0.077856711,6.1382105,8.397632,45.524085,2.4937105,8.5758542,82.82856,56.674075,75.133769,0,10000,0,1
1,-4.3507516,33.790405,10.969803,25.341796,-0.01932994,6.1123643,8.3985839,45.518204,2.4992423,8.5821604,83.435592,56.471751,75.448945,0,10000,0,1
1,-4.2917868,33.816679,10.569647,25.249211,0.082962249,6.1096566,8.402931,45.452335,2.5048824,8.577686,83.024128,56.606589,75.740878,0,10000,0,1
1,-4.2317725,33.798038,9.2944301,24.530304,0.1084709,6.0970483,8.4057183,45.402254,2.5072161,8.5790001,82.305198,56.842553,75.53376,0,10000,0,1
1,-4.2069704,33.803514,6.9965524,22.901866,0.10440657,6.0787876,8.4028228,45.426154,2.5048822,8.5826112,82.124081,56.902418,75.594599,0,10000,0,1
1,-4.2317743,33.818557,9.8885906,24.299653,0.15969417,6.0809032,8.3977841,45.584145,2.4966464,8.5911687,82.153935,56.894448,75.76174,0,10000,0,1
1,-4.3194444,33.854185,10.871991,25.061679,0.23969236,6.1112644,8.3944756,45.688971,2.4878733,8.5864302,81.771734,57.023265,76.157615,0,10000,0,1
1,-4.4130803,33.83446,7.7506785,23.412207,0.20805949,6.1323502,8.3912624,45.752736,2.4799694,8.5839166,81.217687,57.210713,75.938445,0,10000,0,1
1,-4.4976572,33.823993,10.788022,24.927164,0.16902132,6.1503945,8.3860061,45.898185,2.4694403,8.5887785,81.4457,57.142153,75.822148,0,10000,0,1
1,-4.6106511,33.844237,13.416641,26.86371,0.16408838,6.1809399,8.382354,45.971364,2.4628432,8.583367,81.726728,57.055542,76.047074,0,10000,0,1
1,-4.6816371,33.821704,11.802038,26.422524,0.05114169,6.1883589,8.3822786,45.89795,2.4654348,8.5774236,81.768839,57.046859,75.796717,0,10000,0,1
1,-4.653733,33.796945,12.336087,26.920413,-0.10168375,6.1590127,8.3835039,45.758037,2.4747548,8.5766939,82.564013,56.789077,75.521612,0,10000,0,1
1,-4.553572,33.793904,12.693966,27.331557,-0.18433552,6.1081145,8.3879474,45.544402,2.4914091,8.5752313,83.63483,56.439284,75.487826,0,10000,0,1
1,-4.3753123,33.787809,12.282243,27.271548,-0.21133451,6.028633,8.3977352,45.244851,2.5137769,8.5743123,84.210235,56.247947,75.420099,0,10000,0,1
1,-4.1373402,33.783979,12.008075,27.243036,-0.19846349,5.9158436,8.4096285,44.913326,2.5371589,8.57576,84.390287,56.18253,75.377541,0,10000,0,1
1,-3.8903207,33.790013,7.3528146,23.983422,-0.16412114,5.7658773,8.4191394,44.565816,2.5584176,8.5787135,84.287156,56.208309,75.444584,0,10000,0,1
1,-3.6672541,33.80232,11.067975,26.041311,-0.082621992,5.6065381,8.4242892,44.483555,2.5673323,8.595529,84.033086,56.283978,75.581328,0,10000,0,1
1,-3.5741384,33.872329,13.290992,27.932352,0.026854442,5.4938706,8.4252074,44.407998,2.5741953,8.5928122,83.451254,56.468789,76.359215,0,10000,0,1
1,-3.5026229,33.861025,11.050536,26.818629,0.018097576,5.3513706,8.4216319,44.182967,2.5817845,8.5909131,82.677817,56.71809,76.23361,0,10000,0,1
1,-3.4237113,33.853122,7.7105628,24.369546,-0.070024717,5.1268392,8.4135543,43.962358,2.58668,8.597574,82.73674,56.698396,76.145798,0,10000,0,1
1,-3.3729027,33.880837,10.357951,25.654617,-0.11115816,4.8834839,8.4060684,43.971598,2.5860726,8.6118338,83.355325,56.498426,76.45374,0,10000,0,1
1,-3.3792031,33.940114,6.3522095,22.852641,-0.075484866,4.7030407,8.404594,43.987294,2.5893279,8.6105758,83.645697,56.404094,77.112382,0,10000,0,1
1,-3.3454525,33.934888,11.242865,25.647844,0.0090556438,4.5853223,8.4076017,44.16905,2.5844806,8.6244658,83.395287,56.483511,77.054313,0,10000,0,1
1,-3.3957199,33.992564,4.2230414,21.294358,0.10546415,4.5531749,8.4097938,44.242777,2.5821143,8.6148099,82.799982,56.673664,77.69516,0,10000,0,1
1,-3.420286,33.952477,8.5963859,23.469431,0.17448936,4.5566563,8.4076896,44.573967,2.5649184,8.633178,82.122781,56.891203,77.249744,0,10000,0,1
1,-3.5993268,34.028705,6.3828672,22.160458,0.29421555,4.6490831,8.4015448,44.882215,2.5470251,8.6264138,81.641131,57.048847,78.096722,0,10000,0,1
1,-3.7866159,34.000648,9.5067743,23.895008,0.35057401,4.7696296,8.393684,45.235766,2.5219085,8.6306674,80.809626,57.324097,77.784974,0,10000,0,1
1,-4.0512337,34.018293,8.4691471,23.540063,0.35112537,4.9067284,8.3839935,45.500271,2.4974388,8.6213651,80.425401,57.460135,77.981035,0,10000,0,1
1,-4.3109993,33.979695,8.6284668,23.632834,0.26633031,5.0331736,8.3742637,45.762779,2.4746976,8.6175252,80.434655,57.470681,77.552168,0,10000,0,1
1,-4.5541854,33.963753,6.691547,22.476583,0.21132496,5.1624117,8.3677028,45.983864,2.4566083,8.6110269,81.042145,57.284245,77.375033,0,10000,0,1
1,-4.7488617,33.936762,9.4016593,23.608866,0.25126947,5.3047591,8.3673323,46.223976,2.4401461,8.6085824,81.438913,57.16323,77.075137,0,10000,0,1
